Title,Preview Text,URL,Date
Singapore’s climate strategy stands firm amid global setbacks on emissions,"[SINGAPORE] As major economies scale back climate commitments and global momentum stalls, Singapore stands out for its steadfast approach to climate action.

Recent policy reversals in countries like the United States – where significant climate safeguards for air, water, wildlife, and toxic chemicals have been discontinued – have cast doubt on the world’s collective resolve.

Several major signatories to the Paris Climate Agreement also missed the Feb 10, 2025, deadline to submit updated carbon",https://www.businesstimes.com.sg/companies-markets/future-world-sustainability-2025/singapores-climate-strategy-stands-firm-amid-global-setbacks-emissions,2025-06-15
Carbon tax-paying firms can carry over unused offsets to 2025 due to limited carbon credit supply,"Singapore is making headway in its quest to source carbon credits from its partners around the world. ST PHOTO: KUA CHEE SIONG

SINGAPORE – Carbon tax-liable companies in Singapore, which have been able to use eligible carbon credits to offset up to 5 per cent of their emissions each year, will be allowed to roll over their unused offset limit in 2024 to 2025 .

This means that if any of the roughly 50 such tax-paying facilities here did not use any carbon offsets in 2024, they may offset up to ",https://www.straitstimes.com/singapore/environment/carbon-tax-paying-firms-can-carry-over-unused-offsets-to-2025-due-to-limited-carbon-credit-supply,2025-06-15
Appointments in new Cabinet show climate change remains a priority for Singapore,"In announcing his new Cabinet line-up, PM Lawerence Wong said that energy – especially clean energy – will be an important part of his Government’s agenda ST PHOTO: LIM YAOHUI

SINGAPORE – Climate change first shot to the top of the national agenda in 2019 under then Prime Minister Lee Hsien Loong, when he said in his National Day Rally speech that Singapore’s climate change defences were of as much existential importance for the country as its armed forces.

Following that speech, the Governmen",https://www.straitstimes.com/singapore/environment/appointments-in-new-cabinet-show-climate-change-remains-a-priority-for-singapore?login=true,2025-06-15
Guidebook launched for sustainability reporting training providers,"[SINGAPORE] Sustainability-reporting training providers can now refer to a new guidebook to design their programmes and courses in a way that aligns with standards set out by the International Sustainability Standards Board (ISSB).

Launched by the Accounting and Corporate Regulatory Authority (Acra) on Monday (May 19), the guidebook – titled Sustainability Reporting Body of Knowledge (SR BOK) – aims to provide essential knowledge areas on ISSB standards that training providers could use to deve",https://www.businesstimes.com.sg/esg/guidebook-launched-sustainability-reporting-training-providers,2025-06-15
Enabling MSMEs to adopt ESG practices is key to sustainable supply chains: report,"[SINGAPORE] There is growing momentum among micro, small and medium-sized enterprises (MSMEs) in South-east Asia to adopt sustainability practices, but stumbling blocks such as financial constraints remain.

This issue was raised in a report by the Centre for Impact Investing and Practices (CIIP), titled Transforming for Sustainability: Driving Impact and Value through Supply Chain Action, released on Wednesday (May 7) at an Ecosperity Week event.

The report found that MSMEs in the region recog",https://www.businesstimes.com.sg/esg/enabling-msmes-adopt-esg-practices-key-sustainable-supply-chains-report,2025-06-15
World Economic Forum and GenZero initiative to increase demand for sustainable aviation fuel in Asia-Pac,"[SINGAPORE] Green Fuel Forward, a campaign to help scale up demand for sustainable aviation fuel in the Asia-Pacific region, was launched on Monday (May 5) at the GenZero Climate Summit 2025.

A joint effort between the World Economic Forum (WEF) and Temasek-backed, decarbonisation-focused investment company GenZero, it will educate organisations to become more familiar and competent with sustainable aviation fuel and sustainable aviation fuel certificates (SAFC), promote the use of both, enable",https://www.businesstimes.com.sg/international/global/world-economic-forum-genzero-initiative-raise-demand-sustainable-aviation-fuel-asia-pacific,2025-06-15
Singapore investors behind regional peers on climate governance and disclosures: investor group,"[SINGAPORE] Investors in Singapore are behind their regional peers in several climate-related metrics, particularly on matters relating to climate governance and disclosures, indicated a recent review by the Asia Investor Group on Climate Change.

The review, which polled 230 major Asian investors, found that Singapore investors were lagging on the following metrics:

Linking board remuneration to climate performance: Singapore scored an average of 28 per cent compared to an average of 35 per ce",https://www.businesstimes.com.sg/esg/singapore-investors-behind-regional-peers-climate-governance-and-disclosures-investor-group,2025-06-15
Why sustainable equity investors should pay attention to Singapore,"IN THIS FTSE Russell insight, we examine Singapore’s role in the green economy, focusing on green revenues, sectoral exposures and the current level of disclosure of climate and sustainability data.

Green revenues by country

The green economy exposure of Singapore’s best-known equity market benchmark, the Straits Times Index (STI), was 10.9 per cent of market capitalisation at the end of December 2024, based on LSEG Green Revenues data. This revenue share is up from less than 4.2 per cent in 2",https://www.businesstimes.com.sg/esg/why-sustainable-equity-investors-should-pay-attention-singapore,2025-06-15
"UOB, CIMB vote for 1.5 deg C climate target to be replaced with below 2","[SINGAPORE] At least two banks in South-east Asia will be voting to drop a key climate target that limits global warming to 1.5 degree Celsius above pre-industrial levels.

Both UOB and CIMB – who are members of the Net-Zero Banking Alliance (NZBA) – told The Business Times that they will be accepting a proposal by the group to remove the requirement that signatories have to align their portfolios to the 1.5 deg C threshold. Their net-zero pledge will instead be replaced with a commitment to kee",https://www.businesstimes.com.sg/esg/uob-cimb-vote-1-5-deg-c-climate-target-be-replaced-below-2,2025-06-15
"Chile inks carbon trading pact with Singapore, fifth country to do so","The implementation agreement to collaborate on carbon credits was signed by Minister for Sustainability and the Environment Grace Fu and Chile’s Minister of Foreign Affairs Alberto van Klaveren on April 7. PHOTO: MINISTRY OF TRADE AND INDUSTRY

Chile inks carbon trading pact with Singapore, fifth country to do so

SINGAPORE – Chile has become the fifth country that can sell carbon credits to Singapore, after both nations inked a carbon trading agreement on April 7.

Singapore has similar pacts w",https://www.straitstimes.com/singapore/environment/chile-inks-carbon-trading-pact-with-singapore-fifth-country-to-do-so,2025-06-15
Singapore looking to buy nature-based carbon offsets to meet 2030 climate target,"Investment firm GenZero is proposing a total of 500,000 credits from two projects, of which one involves restoring stretches of degraded land in Ghana’s Kwahu region. PHOTO: GENZERO

SINGAPORE – The Republic is looking to buy its first set of nature-based carbon offsets to meet its 2030 climate change target, a move that observers say could help further efforts to conserve the planet’s remaining natural ecosystems amid global biodiversity decline.

This request for proposal – the first for credi",https://www.straitstimes.com/singapore/spore-looking-to-buy-nature-based-carbon-offsets-as-part-of-effort-to-meet-2030-climate-target,2025-06-15
"Local construction companies adopt ESG registry to bolster competitiveness, secure project tenders","[SINGAPORE] Seven local construction companies have adopted ESGpedia – a Singapore-based environmental, social and governance (ESG) registry – to strengthen their competitiveness and secure more project tenders.

On top of that, they achieved better ESG compliance, man-hour savings and enhanced data insights into greenhouse gas emissions, said ESGpedia in a Tuesday (Mar 18) press statement.

The seven companies are Expand Construction, Hi-Tek Construction, Ngai Chin Construction, Teambuild Const",https://www.businesstimes.com.sg/esg/local-construction-companies-adopt-esg-registry-bolster-competitiveness-secure-project-tenders,2025-06-15
"Singapore-listed firms made progress in climate reporting, but there’s room for improvement","Of the 529 companies whose sustainability reports were reviewed, 97 per cent carried out climate reporting. PHOTO: ST FILE

SINGAPORE – Singapore-listed companies have made progress in climate reporting, but less than a third of them provided all the information required under a framework by the Task Force on Climate-Related Financial Disclosures (TCFD) .

This is a globally recognised framework for companies to disclose climate-related impacts, risks and opportunities.

It comes at a “critical ",https://www.straitstimes.com/business/companies-markets/singapore-listed-firms-made-progress-in-climate-reporting-but-there-is-still-room-for-improvement,2025-06-15
"Reducing carbon emissions not only healthy for planet, but can also fuel economic growth: SM Teo","Senior Minister Teo Chee Hean was responding to a question in Parliament on how political headwinds in the world will affect Singapore’s climate goals. ST PHOTO: LIM YAOHUI

Reducing carbon emissions not only healthy for planet, but can also fuel economic growth: SM Teo

SINGAPORE - Transitioning away from fossil fuels is crucial not only for the health of the planet, but also for economic growth and prosperity of the people, Senior Minister Teo Chee Hean told Parliament on Feb 28.

For these re",https://www.straitstimes.com/singapore/politics/reducing-carbon-emissions-not-only-healthy-for-planet-but-can-fuel-economic-growth-sm-teo?_gl=1*10hj6ue*_gcl_au*MTY2ODYwNDQzMS4xNzM1Nzc5NjM5,2025-06-15
